name,category,type,latitude,longitude
Goya Sushi & Grill,amenity,restaurant,30.4619117,-97.7954631
Starbucks,amenity,cafe,30.4027582,-97.7212458
JuiceLand,amenity,fast_food,30.4027504,-97.7213377
Domino's,amenity,fast_food,30.2605214,-97.7136664
JuiceLand,amenity,fast_food,30.2196357,-97.7560538
McDonald's,amenity,fast_food,30.220541,-97.7538385
La Crawfish,amenity,restaurant,30.2211587,-97.756851
Cabo Bob's Burritos,amenity,fast_food,30.2210325,-97.756935
Austea,amenity,cafe,30.2213187,-97.7567513
Domino's,amenity,fast_food,30.2380152,-97.7537296
Coco’s Cafe,amenity,restaurant,30.3611102,-97.7155755
House of Three Gorges,amenity,restaurant,30.3617553,-97.7153921
The Austin Eagle,amenity,bar,30.3310359,-97.6668989
Starbucks,amenity,cafe,30.2652626,-97.7383962
Phoebe's Diner,amenity,cafe,30.2740058,-97.7448779
The Star Cafe,amenity,cafe,30.2799893,-97.7388481
Ramen Del Barrio,amenity,restaurant,30.4127279,-97.6867058
Spread & co,amenity,restaurant,30.3124405,-97.7733716
Einstein Bros. Bagels,amenity,fast_food,30.2195469,-97.8353486
Clean Juice,amenity,fast_food,30.2195305,-97.8354723
Tropical Smoothie Cafe,amenity,fast_food,30.2038455,-97.8791211
Black Sheep Coffee,amenity,cafe,30.2693448,-97.7464777
,amenity,cafe,30.202367,-97.6678025
Mangieri's Pizza Cafe,amenity,restaurant,30.2012745,-97.8789622
District Kitchen + Cocktails,amenity,restaurant,30.201444,-97.8796223
Que Divino Cocina Mexicana,amenity,restaurant,30.3570795,-97.7487821
Summer Moon Coffee,amenity,cafe,30.3555394,-97.7302023
An Nyeong K Tofu & BBQ,amenity,restaurant,30.3215358,-97.7390648
Thundercloud Subs,amenity,restaurant,30.3824074,-97.723803
Cosmic Saltillo,amenity,bar,30.2622871,-97.7299881
Klerjē Coffee,amenity,cafe,30.2627736,-97.7254221
LOVE Bubble Tea,amenity,cafe,30.2628366,-97.7256008
True Texas BBQ,amenity,restaurant,30.2386961,-97.7540926
Postino,amenity,bar,30.253797,-97.7625395
Love Lamp Matcha,amenity,cafe,30.2619801,-97.761792
The Tiny Minotaur Tavern,amenity,bar,30.2532298,-97.7140569
Thistle Cafe,amenity,cafe,30.2684394,-97.7448291
JuiceLand,amenity,fast_food,30.2775059,-97.7722469
Jersey Mike's Subs,amenity,fast_food,30.4172704,-97.7041647
