name,category,type,latitude,longitude
H-E-B plus!,shop,supermarket,30.477979513899157,-97.80334431028997
7-Eleven,shop,convenience,30.4086785,-97.6786881
Prime Mart,shop,convenience,30.407207449999998,-97.67883830000001
Schlotzsky's,amenity,fast_food,30.403735039604555,-97.67393422897742
H-E-B,shop,supermarket,30.351859425992078,-97.75485542861267
Hey Cupcake,amenity,cafe,30.331162394288036,-97.74031751034296
Little Longhorn Saloon,amenity,bar,30.329350650000006,-97.74015750000001
Hat Creek Burger Co.,amenity,fast_food,30.328341294386608,-97.74004818248892
Thundercloud Subs,amenity,fast_food,30.328541926263092,-97.739572396198
Papa John's,amenity,fast_food,30.327446533668056,-97.73943769435756
