h3,noise_311
894898d96dbffff,2
894898d9c0bffff,1
894898d9c0fffff,2
894898d9c43ffff,11
894898d9c4fffff,188
894898d9c63ffff,6
894898d9c6bffff,3
894898d9c6fffff,13
894898d9c73ffff,3
894898d9c7bffff,7
894898d9cb7ffff,2
894898d9ccbffff,2
894898d9e07ffff,5
894898d9e0bffff,1
894898d9e17ffff,19
894898d9e1bffff,6
894898d9e43ffff,1
894898d9e53ffff,3
894898d9e57ffff,3
894898d9e5bffff,1
894898d9e83ffff,37
894898d9e87ffff,9
894898d9e8bffff,2
894898d9e8fffff,2
894898d9e97ffff,15
894898d9e9bffff,12
894898d9ea7ffff,9
894898d9eb3ffff,9
894898d9eb7ffff,15
894898d9ebbffff,3
894898d9ec3ffff,12
894898d9ec7ffff,41
894898d9ecbffff,5
894898d9ecfffff,1
894898d9ed3ffff,3
894898d9ed7ffff,11
894898d9edbffff,6
894898dae7bffff,1
894898daeb7ffff,2
894898db023ffff,2
894898db04bffff,1
894898db04fffff,5
894898db103ffff,1
894898db11bffff,2
894898db163ffff,1
894898db167ffff,1
894898db177ffff,16
894898db1cbffff,1
894898db1dbffff,4
894898db237ffff,4
894898db2b3ffff,5
894898db2b7ffff,3
894898db303ffff,2
894898db307ffff,5
894898db30bffff,1
894898db30fffff,3
894898db313ffff,1
894898db31bffff,1
894898db323ffff,1
894898db32bffff,5
894898db333ffff,1
894898db337ffff,11
894898db33bffff,6
894898db347ffff,4
894898db353ffff,6
894898db357ffff,4
894898db367ffff,1
894898db377ffff,1
894898db37bffff,1
894898db38bffff,1
894898db3a3ffff,2
894898db3afffff,3
894898db3b7ffff,1
894898db3bbffff,1
89489e2004bffff,3
89489e20053ffff,2
89489e2006bffff,1
89489e200abffff,1
89489e200afffff,16
89489e200b7ffff,2
89489e200cbffff,31
89489e20103ffff,6
89489e20107ffff,1
89489e2010bffff,38
89489e2010fffff,18
89489e20117ffff,12
89489e2011bffff,3
89489e20123ffff,3
89489e2012fffff,2
89489e20133ffff,11
89489e2013bffff,1
89489e20143ffff,3
89489e20147ffff,4
89489e2014fffff,5
89489e20153ffff,15
89489e20157ffff,4
89489e20167ffff,6
89489e2016fffff,20
89489e20173ffff,5
89489e20177ffff,8
89489e2017bffff,4
89489e20187ffff,21
89489e2018fffff,18
89489e2019bffff,1
89489e201b3ffff,10
89489e201bbffff,24
89489e201c7ffff,31
89489e201cfffff,2
89489e201d3ffff,1
89489e20253ffff,1
89489e20273ffff,1
89489e202b7ffff,1
89489e2039bffff,4
89489e20533ffff,1
89489e20637ffff,1
89489e2066bffff,1
89489e2068fffff,1
89489e206b7ffff,5
89489e20827ffff,3
89489e20843ffff,13
89489e20847ffff,12
89489e2084bffff,7
89489e2084fffff,2
89489e20853ffff,14
89489e20857ffff,31
89489e2085bffff,12
89489e2086bffff,7
89489e2087bffff,9
89489e20893ffff,3
89489e208b7ffff,30
89489e208cbffff,4
89489e208d7ffff,19
89489e20903ffff,13
89489e20907ffff,4
89489e2090bffff,20
89489e20913ffff,40
89489e20917ffff,5
89489e2091bffff,8
89489e2092bffff,6
89489e20933ffff,1
89489e2093bffff,1
89489e20943ffff,54
89489e20947ffff,6
89489e2094bffff,33
89489e2094fffff,29
89489e20957ffff,1
89489e2095bffff,29
89489e20967ffff,5
89489e2096bffff,39
89489e2096fffff,1
89489e20973ffff,10
89489e20983ffff,5
89489e20987ffff,6
89489e2098bffff,20
89489e2098fffff,1
89489e20993ffff,30
89489e20997ffff,26
89489e2099bffff,24
89489e209a3ffff,2
89489e209a7ffff,5
89489e209abffff,1
89489e209bbffff,4
89489e209c3ffff,20
89489e209c7ffff,33
89489e209cfffff,1
89489e209d3ffff,4
89489e209d7ffff,10
89489e209dbffff,6
89489e20a2fffff,3
89489e20a87ffff,7
89489e20a97ffff,4
89489e20aa3ffff,2
89489e20aa7ffff,1
89489e20aabffff,3
89489e20aafffff,27
89489e20ab3ffff,6
89489e20ab7ffff,9
89489e20abbffff,2
89489e20b87ffff,4
89489e20b8fffff,1
89489e20b97ffff,102
89489e20ba3ffff,3
89489e20bafffff,1
89489e20bb3ffff,6
89489e20bb7ffff,13
89489e20bbbffff,4
89489e20bdbffff,2
89489e20c13ffff,10
89489e20c17ffff,1
89489e20c2bffff,3
89489e20c4bffff,4
89489e20c63ffff,1
89489e20c67ffff,22
89489e20c83ffff,3
89489e20c87ffff,17
89489e20c8fffff,21
89489e20c93ffff,1
89489e20c97ffff,35
89489e20ca3ffff,2
89489e20ca7ffff,6
89489e20cb3ffff,10
89489e20cb7ffff,3
89489e20cbbffff,7
89489e20d03ffff,10
89489e20d07ffff,90
89489e20d0bffff,75
89489e20d0fffff,44
89489e20d13ffff,18
89489e20d17ffff,9
89489e20d1bffff,52
89489e20d23ffff,17
89489e20d27ffff,1
89489e20d2bffff,23
89489e20d2fffff,75
89489e20d33ffff,17
89489e20d37ffff,11
89489e20d3bffff,46
89489e20d47ffff,33
89489e20d4bffff,2
89489e20d4fffff,2
89489e20d57ffff,11
89489e20d63ffff,263
89489e20d67ffff,8
89489e20d6bffff,30
89489e20d6fffff,5
89489e20d77ffff,13
89489e20d7bffff,7
89489e20d83ffff,2
89489e20d87ffff,4
89489e20d8bffff,22
89489e20d8fffff,2
89489e20d93ffff,20
89489e20d97ffff,9
89489e20d9bffff,15
89489e20da3ffff,7
89489e20da7ffff,19
89489e20dabffff,33
89489e20dafffff,4
89489e20db3ffff,70
89489e20db7ffff,4
89489e20dbbffff,42
89489e20dc3ffff,6
89489e20dc7ffff,30
89489e20dcbffff,10
89489e20dcfffff,21
89489e20dd3ffff,52
89489e20dd7ffff,11
89489e20e0bffff,1
89489e20e0fffff,1
89489e20e17ffff,13
89489e20e27ffff,7
89489e20e2fffff,8
89489e20e37ffff,3
89489e20e43ffff,2
89489e20e47ffff,7
89489e20e4fffff,2
89489e20e73ffff,1
89489e20e8fffff,10
89489e20e97ffff,2
89489e20e9bffff,17
89489e20ea3ffff,1
89489e20eabffff,1
89489e20eb3ffff,28
89489e20ebbffff,7
89489e20ed7ffff,1
89489e2116bffff,1
89489e21323ffff,6
89489e2132fffff,1
89489e21333ffff,7
89489e2133bffff,1
89489e21347ffff,3
89489e2137bffff,1
89489e21393ffff,1
89489e213b3ffff,1
89489e21427ffff,5
89489e21433ffff,1
89489e21437ffff,5
89489e214a3ffff,1
89489e214b3ffff,1
89489e215afffff,1
89489e21e93ffff,2
89489e21e9bffff,1
89489e22003ffff,1
89489e22007ffff,19
89489e22013ffff,13
89489e22017ffff,27
89489e2201bffff,1
89489e22023ffff,32
89489e2202bffff,22
89489e2202fffff,13
89489e2204bffff,23
89489e22077ffff,1
89489e22083ffff,1
89489e22087ffff,14
89489e2208fffff,2
89489e22097ffff,5
89489e220abffff,6
89489e220b3ffff,91
89489e220bbffff,11
89489e220c7ffff,1
89489e22103ffff,19
89489e22107ffff,14
89489e2210bffff,23
89489e2210fffff,10
89489e22113ffff,14
89489e2211bffff,22
89489e22127ffff,10
89489e2212bffff,5
89489e22133ffff,27
89489e22137ffff,8
89489e2213bffff,24
89489e22153ffff,3
89489e2215bffff,4
89489e22163ffff,65
89489e22167ffff,49
89489e2216bffff,5
89489e2216fffff,6
89489e22173ffff,39
89489e22177ffff,42
89489e2217bffff,9
89489e22183ffff,1
89489e22187ffff,3
89489e2218bffff,18
89489e2218fffff,1
89489e2219bffff,35
89489e221abffff,1
89489e221bbffff,13
89489e221c3ffff,8
89489e221c7ffff,9
89489e221cbffff,6
89489e221cfffff,6
89489e221d3ffff,7
89489e221d7ffff,5
89489e221dbffff,2
89489e2222bffff,18
89489e22303ffff,1
89489e2230bffff,3
89489e2230fffff,3
89489e22313ffff,1
89489e22317ffff,3
89489e2232fffff,2
89489e2236fffff,8
89489e22383ffff,162
89489e22387ffff,28
89489e2238bffff,10
89489e2238fffff,16
89489e22393ffff,5
89489e22397ffff,8
89489e2239bffff,48
89489e223a3ffff,4
89489e223abffff,7
89489e223afffff,2
89489e223b7ffff,1
89489e22407ffff,1
89489e2246fffff,1
89489e22503ffff,2
89489e2250fffff,43
89489e2252bffff,33
89489e2252fffff,1
89489e2254bffff,7
89489e2254fffff,4
89489e22563ffff,41
89489e22567ffff,18
89489e2256bffff,1
89489e2256fffff,1
89489e22573ffff,1
89489e22577ffff,4
89489e2265bffff,2
89489e2268fffff,1
89489e22697ffff,1
89489e22803ffff,18
89489e2280fffff,2
89489e22813ffff,5
89489e22817ffff,16
89489e2281bffff,1
89489e22823ffff,1
89489e22827ffff,1
89489e22837ffff,1
89489e22883ffff,5
89489e22887ffff,4
89489e2288bffff,2
89489e2288fffff,6
89489e22893ffff,1
89489e22897ffff,5
89489e228b3ffff,2
89489e228b7ffff,14
89489e228c3ffff,3
89489e228c7ffff,5
89489e228cbffff,3
89489e228cfffff,1
89489e228dbffff,1
89489e22903ffff,2
89489e22907ffff,18
89489e2290fffff,9
89489e22913ffff,1
89489e22917ffff,7
89489e22923ffff,41
89489e22927ffff,235
89489e2292bffff,7
89489e2292fffff,19
89489e22933ffff,42
89489e22937ffff,25
89489e2293bffff,41
89489e22943ffff,1
89489e22947ffff,58
89489e2294bffff,3
89489e2294fffff,21
89489e22957ffff,10
89489e2295bffff,11
89489e22963ffff,73
89489e22967ffff,11
89489e2296bffff,25
89489e2296fffff,47
89489e22973ffff,11
89489e22977ffff,79
89489e2297bffff,41
89489e22983ffff,2
89489e22987ffff,31
89489e2298fffff,12
89489e22997ffff,4
89489e229a3ffff,30
89489e229a7ffff,55
89489e229abffff,21
89489e229afffff,35
89489e229b3ffff,29
89489e229b7ffff,87
89489e229bbffff,1
89489e229c3ffff,3
89489e229cbffff,26
89489e229cfffff,3
89489e229d3ffff,30
89489e22a27ffff,2
89489e22a2fffff,16
89489e22a87ffff,17
89489e22ab3ffff,1
89489e22ad3ffff,1
89489e22b03ffff,10
89489e22b07ffff,31
89489e22b13ffff,3
89489e22b17ffff,21
89489e22b1bffff,1
89489e22b3bffff,1
